Number,Nitride,R1,X1,V1,R2,X2,V3,R3,X3,R4,X4,R5,X5,R6,X6,R7,X7,R8,X8,I1,I2,I3,I4,I5,I6,I7,I8,PBE Eg (eV),HSE Eg (eV),Band offset (eV),Formation energy per atom (eV)
16,BeCa2Sr3GeZrN8,0.9,1.57,2,1.74,1.0,2,1.74,1.0,1.92,0.95,1.11,1.9,1.11,1.9,1.22,2.01,1.48,1.33,0.8995,0.5898,0.5898,0.5495,0.7865,0.7865,0.762,0.6401,2.9249,4.3962,0.0149,-2.8538
17,BeSrBaCdSi2SnZrN8,0.9,1.57,2,1.92,0.95,2,1.98,0.89,1.48,1.69,1.11,1.9,1.11,1.9,1.41,1.96,1.48,1.33,0.8995,0.5495,0.5029,0.8678,0.7865,0.7865,0.7086,0.6401,1.2153,2.5334,0.6328,-2.5396
18,BeBa3SiGeSnZrN8,0.9,1.57,2,1.98,0.89,2,1.98,0.89,1.98,0.89,1.11,1.9,1.22,2.01,1.41,1.96,1.48,1.33,0.8995,0.5029,0.5029,0.5029,0.7865,0.762,0.7086,0.6401,2.3164,3.7702,0.8965,-2.4992
19,BeCaSrCdSiGeSnZrN8,0.9,1.57,2,1.74,1.0,2,1.92,0.95,1.48,1.69,1.11,1.9,1.22,2.01,1.41,1.96,1.48,1.33,0.8995,0.5898,0.5495,0.8678,0.7865,0.762,0.7086,0.6401,1.4318,2.8038,0.3687,-2.4561
20,BeZnCd2SiGeSnZrN8,0.9,1.57,2,1.31,1.65,2,1.48,1.69,1.48,1.69,1.11,1.9,1.22,2.01,1.41,1.96,1.48,1.33,0.8995,0.9064,0.8678,0.8678,0.7865,0.762,0.7086,0.6401,1.3246,2.7614,0.5376,-2.1957
21,BeMgCaBaGe2SnZrN8,0.9,1.57,2,1.3,1.31,2,1.74,1.0,1.98,0.89,1.22,2.01,1.22,2.01,1.41,1.96,1.48,1.33,0.8995,0.7377,0.5898,0.5029,0.762,0.762,0.7086,0.6401,2.0267,3.4847,0.5228,-2.4279
22,BeSrZnCdGe2SnZrN8,0.9,1.57,2,1.92,0.95,2,1.31,1.65,1.48,1.69,1.22,2.01,1.22,2.01,1.41,1.96,1.48,1.33,0.8995,0.5495,0.9064,0.8678,0.762,0.762,0.7086,0.6401,1.1139,2.6106,0.4155,-2.1352
23,BeMgCaBaSiSn2ZrN8,0.9,1.57,2,1.3,1.31,2,1.74,1.0,1.98,0.89,1.11,1.9,1.41,1.96,1.41,1.96,1.48,1.33,0.8995,0.7377,0.5898,0.5029,0.7865,0.7086,0.7086,0.6401,1.8913,3.3257,0.6318,-2.5062
24,BeMgSrCdGeSn2ZrN8,0.9,1.57,2,1.3,1.31,2,1.92,0.95,1.48,1.69,1.22,2.01,1.41,1.96,1.41,1.96,1.48,1.33,0.8995,0.7377,0.5495,0.8678,0.762,0.7086,0.7086,0.6401,1.23,2.6108,0.6629,-2.2133
25,BeBaCd2Ge2TiZrN8,0.9,1.57,2,1.98,0.89,2,1.48,1.69,1.48,1.69,1.22,2.01,1.22,2.01,1.36,1.54,1.48,1.33,0.8995,0.5029,0.8678,0.8678,0.762,0.762,0.6588,0.6401,1.2549,2.6562,0.7106,-2.2642
26,BeCaBaZnSiSnTiZrN8,0.9,1.57,2,1.74,1.0,2,1.98,0.89,1.31,1.65,1.11,1.9,1.41,1.96,1.36,1.54,1.48,1.33,0.8995,0.5898,0.5029,0.9064,0.7865,0.7086,0.6588,0.6401,1.5501,2.9377,0.8698,-2.6039
27,BeBaZnCdSiSnTiZrN8,0.9,1.57,2,1.98,0.89,2,1.31,1.65,1.48,1.69,1.11,1.9,1.41,1.96,1.36,1.54,1.48,1.33,0.8995,0.5029,0.9064,0.8678,0.7865,0.7086,0.6588,0.6401,1.1014,2.4983,0.6615,-2.3957
28,BeCaSrCdSiGeZr2N8,0.9,1.57,2,1.74,1.0,2,1.92,0.95,1.48,1.69,1.11,1.9,1.22,2.01,1.48,1.33,1.48,1.33,0.8995,0.5898,0.5495,0.8678,0.7865,0.762,0.6401,0.6401,1.3639,2.6573,0.4102,-2.6842
29,BeCaZnCdSiGeZr2N8,0.9,1.57,2,1.74,1.0,2,1.31,1.65,1.48,1.69,1.11,1.9,1.22,2.01,1.48,1.33,1.48,1.33,0.8995,0.5898,0.9064,0.8678,0.7865,0.762,0.6401,0.6401,1.5048,2.9185,0.3102,-2.5294
30,BeCaSrBaSiSnZr2N8,0.9,1.57,2,1.74,1.0,2,1.92,0.95,1.98,0.89,1.11,1.9,1.41,1.96,1.48,1.33,1.48,1.33,0.8995,0.5898,0.5495,0.5029,0.7865,0.7086,0.6401,0.6401,2.2407,3.624,0.8456,-2.7449
31,BeMgCaSrSnTiZr2N8,0.9,1.57,2,1.3,1.31,2,1.74,1.0,1.92,0.95,1.41,1.96,1.36,1.54,1.48,1.33,1.48,1.33,0.8995,0.7377,0.5898,0.5495,0.7086,0.6588,0.6401,0.6401,2.518,3.8705,0.401,-2.7759
32,BeMgCaSrSiGeSnHfN8,0.9,1.57,2,1.3,1.31,2,1.74,1.0,1.92,0.95,1.11,1.9,1.22,2.01,1.41,1.96,1.5,1.3,0.8995,0.7377,0.5898,0.5495,0.7865,0.762,0.7086,0.6585,1.7479,3.2624,0.2433,-2.644
33,BeSr2BaSiGeSnHfN8,0.9,1.57,2,1.92,0.95,2,1.92,0.95,1.98,0.89,1.11,1.9,1.22,2.01,1.41,1.96,1.5,1.3,0.8995,0.5495,0.5495,0.5029,0.7865,0.762,0.7086,0.6585,2.2601,3.7523,0.5543,-2.5853
34,BeMgBaCdSiGeSnHfN8,0.9,1.57,2,1.3,1.31,2,1.98,0.89,1.48,1.69,1.11,1.9,1.22,2.01,1.41,1.96,1.5,1.3,0.8995,0.7377,0.5029,0.8678,0.7865,0.762,0.7086,0.6585,1.0239,2.4389,0.7528,-2.4037
35,BeCaSrZnSiSn2HfN8,0.9,1.57,2,1.74,1.0,2,1.92,0.95,1.31,1.65,1.11,1.9,1.41,1.96,1.41,1.96,1.5,1.3,0.8995,0.5898,0.5495,0.9064,0.7865,0.7086,0.7086,0.6585,1.644,3.1201,0.4198,-2.4598
36,BeMgBaZnSiSn2HfN8,0.9,1.57,2,1.3,1.31,2,1.98,0.89,1.31,1.65,1.11,1.9,1.41,1.96,1.41,1.96,1.5,1.3,0.8995,0.7377,0.5029,0.9064,0.7865,0.7086,0.7086,0.6585,1.0854,2.4972,0.9891,-2.3632
37,BeSrZnCdSiGeTiHfN8,0.9,1.57,2,1.92,0.95,2,1.31,1.65,1.48,1.69,1.11,1.9,1.22,2.01,1.36,1.54,1.5,1.3,0.8995,0.5495,0.9064,0.8678,0.7865,0.762,0.6588,0.6585,1.7612,3.2582,0.2002,-2.5334
38,Be2MgCaSiSnTiHfN8,0.9,1.57,2,0.9,1.57,2,1.3,1.31,1.74,1.0,1.11,1.9,1.41,1.96,1.36,1.54,1.5,1.3,0.8995,0.8995,0.7377,0.5898,0.7865,0.7086,0.6588,0.6585,2.3776,3.8001,0.0274,-2.7851
39,BeBaCd2Sn2TiHfN8,0.9,1.57,2,1.98,0.89,2,1.48,1.69,1.48,1.69,1.41,1.96,1.41,1.96,1.36,1.54,1.5,1.3,0.8995,0.5029,0.8678,0.8678,0.7086,0.7086,0.6588,0.6585,0.5674,1.8491,1.1983,-2.2299
40,BeCaSrZnSiTi2HfN8,0.9,1.57,2,1.74,1.0,2,1.92,0.95,1.31,1.65,1.11,1.9,1.36,1.54,1.36,1.54,1.5,1.3,0.8995,0.5898,0.5495,0.9064,0.7865,0.6588,0.6588,0.6585,2.0435,3.3906,0.3327,-2.9254
41,BeBaZn2SiTi2HfN8,0.9,1.57,2,1.98,0.89,2,1.31,1.65,1.31,1.65,1.11,1.9,1.36,1.54,1.36,1.54,1.5,1.3,0.8995,0.5029,0.9064,0.9064,0.7865,0.6588,0.6588,0.6585,2.1995,3.5452,0.5076,-2.6765
42,BeMgZnCdSiTi2HfN8,0.9,1.57,2,1.3,1.31,2,1.31,1.65,1.48,1.69,1.11,1.9,1.36,1.54,1.36,1.54,1.5,1.3,0.8995,0.7377,0.9064,0.8678,0.7865,0.6588,0.6588,0.6585,2.0295,3.3769,0.5095,-2.75
43,BeZnCd2SiTi2HfN8,0.9,1.57,2,1.31,1.65,2,1.48,1.69,1.48,1.69,1.11,1.9,1.36,1.54,1.36,1.54,1.5,1.3,0.8995,0.9064,0.8678,0.8678,0.7865,0.6588,0.6588,0.6585,2.1433,3.5124,0.6884,-2.582
44,BeCaSr2GeTi2HfN8,0.9,1.57,2,1.74,1.0,2,1.92,0.95,1.92,0.95,1.22,2.01,1.36,1.54,1.36,1.54,1.5,1.3,0.8995,0.5898,0.5495,0.5495,0.762,0.6588,0.6588,0.6585,2.4545,3.7642,0.4938,-2.9169
45,BeMgSrBaGeTi2HfN8,0.9,1.57,2,1.3,1.31,2,1.92,0.95,1.98,0.89,1.22,2.01,1.36,1.54,1.36,1.54,1.5,1.3,0.8995,0.7377,0.5495,0.5029,0.762,0.6588,0.6588,0.6585,2.4531,3.7227,0.7376,-2.8492
46,BeCaBaCdGeTi2HfN8,0.9,1.57,2,1.74,1.0,2,1.98,0.89,1.48,1.69,1.22,2.01,1.36,1.54,1.36,1.54,1.5,1.3,0.8995,0.5898,0.5029,0.8678,0.762,0.6588,0.6588,0.6585,1.5841,2.8249,0.764,-2.7129
47,BeCaCd2GeTi2HfN8,0.9,1.57,2,1.74,1.0,2,1.48,1.69,1.48,1.69,1.22,2.01,1.36,1.54,1.36,1.54,1.5,1.3,0.8995,0.5898,0.8678,0.8678,0.762,0.6588,0.6588,0.6585,1.7873,3.1063,0.7495,-2.5635
48,BeZnCd2GeTi2HfN8,0.9,1.57,2,1.31,1.65,2,1.48,1.69,1.48,1.69,1.22,2.01,1.36,1.54,1.36,1.54,1.5,1.3,0.8995,0.9064,0.8678,0.8678,0.762,0.6588,0.6588,0.6585,2.1127,3.4987,0.7506,-2.4337
49,Be2CaZnSnTi2HfN8,0.9,1.57,2,0.9,1.57,2,1.74,1.0,1.31,1.65,1.41,1.96,1.36,1.54,1.36,1.54,1.5,1.3,0.8995,0.8995,0.5898,0.9064,0.7086,0.6588,0.6588,0.6585,1.8626,3.3246,0.2519,-2.6533
50,BeSrZnCdSiGeZrHfN8,0.9,1.57,2,1.92,0.95,2,1.31,1.65,1.48,1.69,1.11,1.9,1.22,2.01,1.48,1.33,1.5,1.3,0.8995,0.5495,0.9064,0.8678,0.7865,0.762,0.6401,0.6585,1.4141,2.8825,0.2568,-2.5007
51,BeMgSr2Ge2ZrHfN8,0.9,1.57,2,1.3,1.31,2,1.92,0.95,1.92,0.95,1.22,2.01,1.22,2.01,1.48,1.33,1.5,1.3,0.8995,0.7377,0.5495,0.5495,0.762,0.762,0.6401,0.6585,2.6749,4.1291,0.2828,-2.7048
52,BeZn3Ge2ZrHfN8,0.9,1.57,2,1.31,1.65,2,1.31,1.65,1.31,1.65,1.22,2.01,1.22,2.01,1.48,1.33,1.5,1.3,0.8995,0.9064,0.9064,0.9064,0.762,0.762,0.6401,0.6585,1.9525,3.59,0.1067,-2.4022
53,BeCaSr3SnZrHfN8,0.9,1.57,2,1.74,1.0,2,1.92,0.95,1.92,0.95,1.11,1.9,1.41,1.96,1.48,1.33,1.5,1.3,0.8995,0.5898,0.5495,0.5495,0.7865,0.7086,0.6401,0.6585,2.3392,3.7776,0.4604,-2.8187
54,BeSrZnCdSn2ZrHfN8,0.9,1.57,2,1.92,0.95,2,1.31,1.65,1.48,1.69,1.41,1.96,1.41,1.96,1.48,1.33,1.5,1.3,0.8995,0.5495,0.9064,0.8678,0.7086,0.7086,0.6401,0.6585,1.0231,2.3741,0.9061,-2.2946
55,Be2MgZnSiTiZrHfN8,0.9,1.57,2,0.9,1.57,2,1.3,1.31,1.31,1.65,1.11,1.9,1.36,1.54,1.48,1.33,1.5,1.3,0.8995,0.8995,0.7377,0.9064,0.7865,0.6588,0.6401,0.6585,1.8545,3.2075,0.488,-2.9058
56,BeMgCa2GeTiZrHfN8,0.9,1.57,2,1.3,1.31,2,1.74,1.0,1.74,1.0,1.22,2.01,1.36,1.54,1.48,1.33,1.5,1.3,0.8995,0.7377,0.5898,0.5898,0.762,0.6588,0.6401,0.6585,2.6524,4.0453,0.0563,-2.928
57,BeCaSrZnGeTiZrHfN8,0.9,1.57,2,1.74,1.0,2,1.92,0.95,1.31,1.65,1.22,2.01,1.36,1.54,1.48,1.33,1.5,1.3,0.8995,0.5898,0.5495,0.9064,0.762,0.6588,0.6401,0.6585,1.8784,3.2332,0.157,-2.7604
58,BeBa3SnTiZrHfN8,0.9,1.57,2,1.98,0.89,2,1.98,0.89,1.98,0.89,1.41,1.96,1.36,1.54,1.48,1.33,1.5,1.3,0.8995,0.5029,0.5029,0.5029,0.7086,0.6588,0.6401,0.6585,2.2087,3.4899,1.1775,-2.7266
59,BeSrZnCdSnTiZrHfN8,0.9,1.57,2,1.92,0.95,2,1.31,1.65,1.48,1.69,1.41,1.96,1.36,1.54,1.48,1.33,1.5,1.3,0.8995,0.5495,0.9064,0.8678,0.7086,0.6588,0.6401,0.6585,1.5466,2.8193,0.6135,-2.4977
60,BeSr2BaSiZr2HfN8,0.9,1.57,2,1.92,0.95,2,1.92,0.95,1.98,0.89,1.11,1.9,1.48,1.33,1.48,1.33,1.5,1.3,0.8995,0.5495,0.5495,0.5029,0.7865,0.6401,0.6401,0.6585,2.4707,3.7532,0.7976,-2.9854
61,BeSr2CdSiZr2HfN8,0.9,1.57,2,1.92,0.95,2,1.92,0.95,1.48,1.69,1.11,1.9,1.48,1.33,1.48,1.33,1.5,1.3,0.8995,0.5495,0.5495,0.8678,0.7865,0.6401,0.6401,0.6585,1.1304,2.2822,0.7331,-2.8505
62,BeCa2SrGeZr2HfN8,0.9,1.57,2,1.74,1.0,2,1.74,1.0,1.92,0.95,1.22,2.01,1.48,1.33,1.48,1.33,1.5,1.3,0.8995,0.5898,0.5898,0.5495,0.762,0.6401,0.6401,0.6585,2.5787,3.9118,0.3409,-2.905
63,BeZn2CdSi2Hf2N8,0.9,1.57,2,1.31,1.65,2,1.31,1.65,1.48,1.69,1.11,1.9,1.11,1.9,1.5,1.3,1.5,1.3,0.8995,0.9064,0.9064,0.8678,0.7865,0.7865,0.6585,0.6585,2.0797,3.5653,0.1698,-2.6556
64,BeCaSrBaSiGeHf2N8,0.9,1.57,2,1.74,1.0,2,1.92,0.95,1.98,0.89,1.11,1.9,1.22,2.01,1.5,1.3,1.5,1.3,0.8995,0.5898,0.5495,0.5029,0.7865,0.762,0.6585,0.6585,2.6621,4.0359,0.6517,-2.8681
65,BeMgSrZnSiTiHf2N8,0.9,1.57,2,1.3,1.31,2,1.92,0.95,1.31,1.65,1.11,1.9,1.36,1.54,1.5,1.3,1.5,1.3,0.8995,0.7377,0.5495,0.9064,0.7865,0.6588,0.6585,0.6585,1.9645,3.3411,0.271,-2.9112
66,BeCaBaCdSnZrHf2N8,0.9,1.57,2,1.74,1.0,2,1.98,0.89,1.48,1.69,1.41,1.96,1.48,1.33,1.5,1.3,1.5,1.3,0.8995,0.5898,0.5029,0.8678,0.7086,0.6401,0.6585,0.6585,1.4343,2.7143,0.8982,-2.6654
67,MgCa2CdGeSn2TiN8,1.3,1.31,2,1.74,1.0,2,1.74,1.0,1.48,1.69,1.22,2.01,1.41,1.96,1.41,1.96,1.36,1.54,0.7377,0.5898,0.5898,0.8678,0.762,0.7086,0.7086,0.6588,1.3858,2.7806,0.6904,-2.3002
68,Mg2CaCdGeSnTi2N8,1.3,1.31,2,1.3,1.31,2,1.74,1.0,1.48,1.69,1.22,2.01,1.41,1.96,1.36,1.54,1.36,1.54,0.7377,0.7377,0.5898,0.8678,0.762,0.7086,0.6588,0.6588,1.8902,3.2793,0.8463,-2.4856
69,MgBaZnCdSn2Ti2N8,1.3,1.31,2,1.98,0.89,2,1.31,1.65,1.48,1.69,1.41,1.96,1.41,1.96,1.36,1.54,1.36,1.54,0.7377,0.5029,0.9064,0.8678,0.7086,0.7086,0.6588,0.6588,0.8423,2.1716,0.9527,-2.2425
70,MgZn2CdSn2Ti2N8,1.3,1.31,2,1.31,1.65,2,1.31,1.65,1.48,1.69,1.41,1.96,1.41,1.96,1.36,1.54,1.36,1.54,0.7377,0.9064,0.9064,0.8678,0.7086,0.7086,0.6588,0.6588,1.4854,2.9021,0.7695,-2.2107
71,MgSrCd2Si2GeZrN8,1.3,1.31,2,1.92,0.95,2,1.48,1.69,1.48,1.69,1.11,1.9,1.11,1.9,1.22,2.01,1.48,1.33,0.7377,0.5495,0.8678,0.8678,0.7865,0.7865,0.762,0.6401,1.4572,2.8472,0.3201,-2.4797
72,MgCaSrBaGe2SnZrN8,1.3,1.31,2,1.74,1.0,2,1.92,0.95,1.98,0.89,1.22,2.01,1.22,2.01,1.41,1.96,1.48,1.33,0.7377,0.5898,0.5495,0.5029,0.762,0.762,0.7086,0.6401,1.7665,3.2246,0.9679,-2.5488
73,MgCa2BaSiGeTiZrN8,1.3,1.31,2,1.74,1.0,2,1.74,1.0,1.98,0.89,1.11,1.9,1.22,2.01,1.36,1.54,1.48,1.33,0.7377,0.5898,0.5898,0.5029,0.7865,0.762,0.6588,0.6401,2.2097,3.5046,0.9433,-2.8324
74,Mg2Sr2SiSnTiZrN8,1.3,1.31,2,1.3,1.31,2,1.92,0.95,1.92,0.95,1.11,1.9,1.41,1.96,1.36,1.54,1.48,1.33,0.7377,0.7377,0.5495,0.5495,0.7865,0.7086,0.6588,0.6401,2.2747,3.6892,0.7541,-2.7361
75,MgSrZnCdGeSnTiZrN8,1.3,1.31,2,1.92,0.95,2,1.31,1.65,1.48,1.69,1.22,2.01,1.41,1.96,1.36,1.54,1.48,1.33,0.7377,0.5495,0.9064,0.8678,0.762,0.7086,0.6588,0.6401,1.0279,2.4351,0.5435,-2.3588
76,Mg3SrSiTi2ZrN8,1.3,1.31,2,1.3,1.31,2,1.3,1.31,1.92,0.95,1.11,1.9,1.36,1.54,1.36,1.54,1.48,1.33,0.7377,0.7377,0.7377,0.5495,0.7865,0.6588,0.6588,0.6401,2.4349,3.804,0.1826,-2.9862
77,MgSrBaZnTi3ZrN8,1.3,1.31,2,1.92,0.95,2,1.98,0.89,1.31,1.65,1.36,1.54,1.36,1.54,1.36,1.54,1.48,1.33,0.7377,0.5495,0.5029,0.9064,0.6588,0.6588,0.6588,0.6401,2.0761,3.3767,0.5663,-2.8458
78,MgBaZnCdTi3ZrN8,1.3,1.31,2,1.98,0.89,2,1.31,1.65,1.48,1.69,1.36,1.54,1.36,1.54,1.36,1.54,1.48,1.33,0.7377,0.5029,0.9064,0.8678,0.6588,0.6588,0.6588,0.6401,2.0286,3.3307,0.5098,-2.6834
79,MgCa2BaSi2Zr2N8,1.3,1.31,2,1.74,1.0,2,1.74,1.0,1.98,0.89,1.11,1.9,1.11,1.9,1.48,1.33,1.48,1.33,0.7377,0.5898,0.5898,0.5029,0.7865,0.7865,0.6401,0.6401,2.3048,3.6115,0.7573,-2.967
80,MgSr2BaSn2Hf2N8,1.3,1.31,2,1.92,0.95,2,1.92,0.95,1.98,0.89,1.41,1.96,1.41,1.96,1.5,1.3,1.5,1.3,0.7377,0.5495,0.5495,0.5029,0.7086,0.7086,0.6585,0.6585,1.5905,2.9464,1.2415,-2.5552
81,MgSrZn2SiGeZrHfN8,1.3,1.31,2,1.92,0.95,2,1.31,1.65,1.31,1.65,1.11,1.9,1.22,2.01,1.48,1.33,1.5,1.3,0.7377,0.5495,0.9064,0.9064,0.7865,0.762,0.6401,0.6585,1.5692,2.9823,0.2847,-2.549
82,MgSrZn2Ge2TiHfN8,1.3,1.31,2,1.92,0.95,2,1.31,1.65,1.31,1.65,1.22,2.01,1.22,2.01,1.36,1.54,1.5,1.3,0.7377,0.5495,0.9064,0.9064,0.762,0.762,0.6588,0.6585,1.4481,2.9574,0.1539,-2.4468
83,MgSrZnCdSi2TiZrN8,1.3,1.31,2,1.92,0.95,2,1.31,1.65,1.48,1.69,1.11,1.9,1.11,1.9,1.36,1.54,1.48,1.33,0.7377,0.5495,0.9064,0.8678,0.7865,0.7865,0.6588,0.6401,1.6416,3.0418,0.2618,-2.6528
84,MgSrZnCdSiGeZrHfN8,1.3,1.31,2,1.92,0.95,2,1.31,1.65,1.48,1.69,1.11,1.9,1.22,2.01,1.48,1.33,1.5,1.3,0.7377,0.5495,0.9064,0.8678,0.7865,0.762,0.6401,0.6585,1.306,2.7231,0.1816,-2.5286
85,MgBa2ZnSiGeHf2N8,1.3,1.31,2,1.98,0.89,2,1.98,0.89,1.31,1.65,1.11,1.9,1.22,2.01,1.5,1.3,1.5,1.3,0.7377,0.5029,0.5029,0.9064,0.7865,0.762,0.6585,0.6585,1.736,3.094,0.9972,-2.652
86,MgBa2ZnSnTiZrHfN8,1.3,1.31,2,1.98,0.89,2,1.98,0.89,1.31,1.65,1.41,1.96,1.36,1.54,1.48,1.33,1.5,1.3,0.7377,0.5029,0.5029,0.9064,0.7086,0.6588,0.6401,0.6585,1.761,3.0736,0.9228,-2.6028
87,MgBa2CdGeZrHf2N8,1.3,1.31,2,1.98,0.89,2,1.98,0.89,1.48,1.69,1.22,2.01,1.48,1.33,1.5,1.3,1.5,1.3,0.7377,0.5029,0.5029,0.8678,0.762,0.6401,0.6585,0.6585,1.2087,2.4683,0.9035,-2.6497
88,MgBaZn2SiSnHf2N8,1.3,1.31,2,1.98,0.89,2,1.31,1.65,1.31,1.65,1.11,1.9,1.41,1.96,1.5,1.3,1.5,1.3,0.7377,0.5029,0.9064,0.9064,0.7865,0.7086,0.6585,0.6585,0.7673,2.1351,0.707,-2.4995
89,MgBaZnCdSiGeHf2N8,1.3,1.31,2,1.98,0.89,2,1.31,1.65,1.48,1.69,1.11,1.9,1.22,2.01,1.5,1.3,1.5,1.3,0.7377,0.5029,0.9064,0.8678,0.7865,0.762,0.6585,0.6585,0.9625,2.4075,0.3864,-2.4922
90,MgBaZnCdGeTi2ZrN8,1.3,1.31,2,1.98,0.89,2,1.31,1.65,1.48,1.69,1.22,2.01,1.36,1.54,1.36,1.54,1.48,1.33,0.7377,0.5029,0.9064,0.8678,0.762,0.6588,0.6588,0.6401,1.6159,2.9578,0.5995,-2.6277
91,MgBaZnCdSnTiZr2N8,1.3,1.31,2,1.98,0.89,2,1.31,1.65,1.48,1.69,1.41,1.96,1.36,1.54,1.48,1.33,1.48,1.33,0.7377,0.5029,0.9064,0.8678,0.7086,0.6588,0.6401,0.6401,1.3988,2.73,0.5334,-2.4464
92,MgBaCd2Si2Sn2N8,1.3,1.31,2,1.98,0.89,2,1.48,1.69,1.48,1.69,1.11,1.9,1.11,1.9,1.41,1.96,1.41,1.96,0.7377,0.5029,0.8678,0.8678,0.7865,0.7865,0.7086,0.7086,0.4906,1.9359,0.4398,-2.1097
93,MgZn3Ge2TiHfN8,1.3,1.31,2,1.31,1.65,2,1.31,1.65,1.31,1.65,1.22,2.01,1.22,2.01,1.36,1.54,1.5,1.3,0.7377,0.9064,0.9064,0.9064,0.762,0.762,0.6588,0.6585,2.0903,3.7434,-0.1838,-2.4155
